mount_id,Montanha,Altitude(metros)
1,Morro do Leme,125
2,Morro de São João,242
3,Morro de São João (Pedra da Abelha),242
4,Agulha do Inhangá,164
5,Morro dos Cabritos,379
6,Morro da Catacumba,131
7,Pedra do Urubu,111
8,Morro da Saudade,244
9,Morro do Cantagalo,201
10,Pedreira da Rua Aníbal Moreira,36
11,Morro do Urubu,120
12,Ponta do Arpoador,9
13,Falésias do Vidigal,NULL
14,Falésias da Niemeyer,NULL
15,Falésia do Leblon,NULL
16,Falésia do Alto Leblon I,NULL
17,Falésia do Alto Leblon II,NULL
18,Irmão Menor do Leblon,440
