id,nome,grau,crux,artificial,duracao,exposicao,extensao,conquistadores,data,id_montanha,id_face,id_fonte,id_variante,id_croqui
1,29 de dezembro,2.0,IIsup,,,,55.0,Jofre Telles;Marina Mello,2005-08-05,1,1.0,1,,
2,Fenda do Forte,,Vsup,,,,18.0,Ivan Cristie;Paulo Henrique 'PH' Santos,2005-01-15,1,1.0,1,,
3,Semisonic,3.0,V,,,E3,130.0,Paulo Henrique 'PH' Santos (solo encordado),2004-06-21,1,2.0,1,,
4,Ratos de montanha,5.0,VIIb,,,E2/3,105.0,Leandro Chen; Marcos 'Snakinho' Piffer;Marcus Vinícius Ferreira;Patrícia Duffes; Paulo Henrique 'PH' Santos,2005-04-14,1,3.0,1,,
5,Paredão do Leme,2.0,III,,,,135.0,Alexandre Decker; Hélio Barroso; Nélson Busi,1967-08-12,1,3.0,1,,
6,João Belamy,4.0,V,,,,100.0,Antônio 'Tonico' Magalhães; Juliano Magalhães; Felipe Barbosa,2006-11-18,1,4.0,1,,
7,Ponto Noturno,4.0,VI,,,,100.0,Marcos Fontainha; Paulo Henrique 'PH' Santos,2005-06-10,1,4.0,1,1.0,
8,Um dia de sol,4.0,VIsup,,,,95.0,Luiz Vulcanis; Pedro Bugim,2006-10-15,1,4.0,1,2.0,
9,Um dia de sorte,,VIIa,,,,25.0,Pedro Bugim; Rodrigo Taveira,2007-03-18,1,4.0,1,,
10,Diedro Mar Grosso,,IVsup,,,,25.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,2004-12-25,1,4.0,1,,
11,Tsunami,,III,,,,20.0,André Ilha;Rodolfo Campos,2005-05-29,1,4.0,1,,
12,Travessia Dois em um,3.0,V,,,,70.0,Antônio 'Tonico' Magalhães; Felipe Barbosa; Juliano Magalhães,2005-10-14,1,4.0,1,,
13,Depois da tempestade,,III,,,,20.0,Aline Garcia; Pedro Bugim,2006-01-28,1,4.0,1,,
14,Maré negra,,V,,,E3,25.0,André Ilha; Yuri Berezovoy,2006-01-15,1,4.0,1,,
15,Insolação,,IIIsup,,,,20.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,2005-12-23,1,4.0,1,,
16,Ressaca,,V,,,,15.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,2005-12-23,1,4.0,1,,
17,Rio 40 graus,,VIIa,,,,12.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,2005-12-26,1,4.0,1,,
18,Bicho-papão,,VIIIa/b,,,,10.0,André Ilha; Paulo Henrique 'PH' Santos,2006-01-29,1,4.0,1,,
19,Marola,,VIIIb,,,,15.0,Marcos Fontainha; Paulo Henrique 'PH' Santos,2006-01-08,1,4.0,1,,
20,Jovem Colonião,,VIIa,,,,20.0, Paulo Henrique 'PH' Santos (solo),2005-04-06,1,5.0,1,,
21,Arco do Triunfo,5.0,VIIa,,,,45.0,Marcus Vinícius; Paulo Henrique 'PH' Santos,2004-04-03,11,6.0,1,,
