id,nome,id_montanha
1,Nordeste (Forte Duque de Caxias),1
2,Norte (Forte Duque de Caxias),1
3,Noroeste (Forte Duque de Caxias),1
4,Sudoeste (Praia do Leme/Copacabana),1
5,Falésia à beira-mar (Forte Duque de Caxias),1
6,Sudoeste (Forte Duque de Caxias),11
7,Leste,11
8,Falésia da Enseada,11
9,Face Sul (Parque da Chacrinha),2
10,Face Noroeste (Balancé),2
11,Face Noroeste (Cemitério São João Batista),2
12,Face Leste,4
13,Face Sudoeste,4
14,Falésia do Muro,5
15,Falésia Laranjão,5
16,Face Norte/Noroeste (Lagoa/Fonte da Saudade),5
17,Falésia do mirante,5
18,Face Oeste/Sudoeste (Parque da Catacumba),5
19,Face Sul (Rua Constante Ramos),5
20,Face Leste (Túnel Major Rubens Vaz),5
21,Face Nordeste (Rua Santa Clara),5
22,Face Norte/Noroeste (Platô da Lagoa),6
23,Face Norte (Lagoa/Fonte da Saudade),7
24,Falésia do Humaitá,8
25,Face Nordeste (Túnel Sá Freire Alvim),9
26,Face Norte (Rua Percy Murray),9
27,Face Norte (Rua Presidente Afonso Lopes),9
28,Campo Escola de Escalada da Aníbal Moreira,10
29,Parede da Ilusão Idiótica,13
30,Parede Principal,13
31,Face Sul (Avenida Niemeyer),14
32,Face Leste (Praça Rubem Dário),15
33,Face Sul (Avenida Niemeyer),18
34,Face Leste (Parque do Penhasco Dois Irmãos),18
35,Face Nordeste (Parque do Penhasco Dois Irmãos),18
36,Face Noroeste (Rocinha),18
