Montanha,Altitude (metros),Face,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista
Morro do Leme,125,Nordeste (Forte Duque de Caxias),29 de dezembro,2.0,IIsup,,,,55.0,Jofre Telles;Marina Mello,05/08/20058
Morro do Leme,125,Nordeste (Forte Duque de Caxias),Fenda do Forte,,Vsup,,,,18.0,Ivan Cristie;Paulo Henrique 'PH' Santos,15/01/2005
Morro do Leme,125,Norte (Forte Duque de Caxias),Semisonic,3.0,V,,,E3,130.0,Paulo Henrique 'PH' Santos (solo encordado), 21/06/2004
Morro do Leme,125,Noroeste (Forte Duque de Caxias),Ratos de montanha,5.0,VIIb,,,E2/3,105.0,Leandro Chen; Marcos 'Snakinho' Piffer;Marcus Vinícius Ferreira;Patrícia Duffes; Paulo Henrique 'PH' Santos,14/04/2005
Morro do Leme,125,Noroeste (Forte Duque de Caxias),Paredão do Leme,2.0,III,,,,135.0,Alexandre Decker; Hélio Barroso; Nélson Busi,12/08/1967
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),João Belamy,4.0,V,,,,100.0,Antônio 'Tonico' Magalhães; Juliano Magalhães; Felipe Barbosa,18/11/2006
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Ponto Noturno,4.0,VI,,,,100.0,Marcos Fontainha; Paulo Henrique 'PH' Santos,10/06/2005
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Variante da Laca,,IIIsup,,,,35.0,Paulo Henrique 'PH' Santos,12/2005
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Um dia de sol,4.0,VIsup,,,,95.0,Luiz Vulcanis; Pedro Bugim,15/10/2006
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Variante Mudança climática,,V,,,,30.0,Pedro Bugim (com auto-segurança),29/10/2006
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Um dia de sorte,,VIIa,,,,25.0,Pedro Bugim; Rodrigo Taveira,18/03/2007
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Diedro Mar Grosso,,IVsup,,,,25.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,25/12/2004
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Tsunami,,III,,,,20.0,André Ilha;Rodolfo Campos,29/5/2005
