variante_id,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista,source_id
1,Variante da Laca,,IIIsup,,,,35.0,Paulo Henrique 'PH' Santos,2005-12-01,1
2,Variante Mudança climática,,V,,,,30.0,Pedro Bugim (com auto-segurança),2006-10-29,1
3,Variante do Zé,,Vsup,,,,20.0,Leonardi Cupollilo; Paulo Henrique 'PH' Santos,2004-08-08,1
4,Variante João Sebastião,,IV,,,,20.0,Alfredo Neto;Ricardo Bemvindo,2002-12-29,1
5,Variante Baba Roga,,VI,,,,40.0,Marcello Ramos;Predrag Panevski; Russ Clune,1984-01-01,1
6,Variante central,,,,,,,Etzel von Stockert; José 'Tião' Sebastião; Mauro de Andrade; Raimundo Minchetti,1961-01-01,1
7,Variante Luis Carlos Teixeira da Silva,2.0,,A1,,,,Ernani Soares; Frederico Lohmann; Jadyr Santiago; Jean Pierre Von Der Weid; Luis Carlos David; Marcos Teixeira,1968-04-06,1
8,Variante de A fogueira das vaidades,,IVsup,,,,30.0,,,1
9,Variante Diurrurru,3.0,IVsup,,,E2/3,80.0,Alexrande Aragão; Álvaro Loureiro; Felipe Assad,2002-01-01,1
10,Variante Opção vertical,,IIIsup,,,,25.0,Jacques Cardeman; Leonardo 'Leo' Siqueira; Márcio Amaral,1997-06-04,1
11,Variante Eva,,II,,,,25.0,Kátia Torres; Lilian White; Sílvia Fittipaldi; Valéria Conforto,1987-01-01,1
12,Variante Arcturus,,IIsup,,,,30.0,Carlos Carrozino; Rafael Villaça,2007-11-02,1
13,Variante Socialista,,VI,,,,25.0,Alexandre Portela; Sérgio Tartari,1983-01-01,1
14,Variante Capitalismo Selvagem,,IV,,,,20.0,André Ilha; Ricardo de Moraes,1989-04-10,1
15,Variante Lagoa Rasta,,VIIIa,,,,6.0,Gabriel Queiroz; Pedro Kerouac,2008-10-13,1
16,Variante Renascido das Cinzas,,Vsup,,,,30.0,Gustavo Sampaio; Márcio Menezes; Pierre Guerry; André Ilha; Kika Bradford; Gabriela Saliba,2009-04-14,1
17,Variante Quebra-Nozes,,VIIb,,,,20.0,André 'Batata' Padrenosso; Leandro Chen; Marcos 'Kiko' Araújo,2010-05-01,1
18,Variante Sem nome,,III,,,,15.0,,,1
19,Variante Cigarettes,,IVsup,,,,35.0,Gustavo Sampaio; Márcio Argolo,2001-08-01,1
20,Variante Chaminé do Prego,,VI(A0/VIIa),,,E3,25.0,,,1
21,Variante Gilberto Coutinho,,III,,,,25.0,Antônio da Cunha; Etzel Von Stockert; José 'Tião' Sebastião; Raimundo Minchetti,1960-07-17,1
22,Variante Arduíno Sabóia Amorim,,IVsup(A0/VI;C/VIIb),,,,35.0,Aluízio Borges; Gilberto D'Urso; Hélio Prefeitinho; Henry Occhioni; Jayme Moura e Silva; Jessé Ferreira; José Carlos Pinto; Mário de Castro; Oscar da Silva; Raphael de Assis,1965-07-18,1
23,Variante Infiéis,,VIsup,,,,20.0,André Ilha; Gabriel Fonseca,1994-08-20,1
24,Variante Porcos Safados,,VIIb,,,,8.0,André 'Rato' Kühner; Luís Cláudio 'Ralf' Cortes; Nilton Campos,2003-12-01,1
25,Variante Trigramps,,IVsup,,,,15.0,Autor Desconhecido,,1
26,Variante Direta,,V,,,,20.0,Flávio Daflon; Márcio Carrilho,2004-01-01,1
27,Variante de Carlos Alexandre,,III,,,,40.0,Luis Octávio 'Tavinho' Cardozo; Maurício Mota,1978-01-01,1
28,Variante Boa sorte Marianne,,IV,,,,5.0,Alexandre Faia,2011-02-01,2
29,Variante Faixa branca,,IV,,,E3,10.0,André Ilha; Yuri Berezovoy,2007-01-07,1
30,Variante Tapa na Pantera,,IVsup,,,E2/3,10.0,André Ilha; Yuri Berezovoy,2007-01-28,1
31,Variante Ferrão Satírico,,VIIa,,,E2/3,20.0,André Ilha; McKenzie Campbell; Yuri Berezovoy,2007-02-04,1
32,Variante Campo Minado,,IVsup,A1,,,10.0,Cláudio Peixoto; Raphael Raine,,1
33,Variante Gambá à espreita,,VI,,,,25.0,Kika Bradford; Helena Fagundes; Rosane Camargo,2009-04-19,1
34,Variante Fazendo arte,,IV,,,E3/4,35.0,Fernando Vieira; Juliano Lindner,2001-01-23,1
35,Variante Roubadinha,,Vsup,,,E2/3,45.0,Fernando Vieira; Luis Felipe Leitão,2002-07-15,1
36,Variante Krakatoa,,IVsup,,,,50.0,André Ilha; Lúcia Duarte,1990-05-20,1
37,Variante Lunaris,,IV,,,E2/3,50.0,Bernardo Collares; Marcelo Roberto Jimenez,2000-07-30,1
38,Variante Arquivo X,4.0,IVsup,,,,95.0,Alberto 'Beto' Araújo; Clésio Kleske; Manuel Rosário Jr.,2003-04-18,1
39,Variante Luz das estrelas,5.0,VIIa,,,,100.0,André 'Pedra Azul' Araújo; Flávio Leone,2001-10-17,1
